name,d,ridge_std,ridge_raw,sgd_std,sgd_std_lr,sgd_raw,sgd_raw_lr
siglip2_sm16_256,1152,0.8056882741436232,0.8054197188262789,0.7854629184912758,0.5,0.7865036449214862,0.5
siglip2_sm16_384,1152,0.8102044141082254,0.8099529828981314,0.7921939762474699,0.5,0.7832054528956356,0.5
siglip2_sm16_512,1152,0.8104739507372271,0.8082336651940718,0.7941813374411907,0.5,0.7825150347967967,0.5
toklip_l_384,1152,0.765738071131999,0.7643652878103672,0.7456988752856576,0.5,0.7156134331317058,0.5
toklip_s_256,1152,0.7281868261342266,0.7269501770112526,0.710149509745846,0.5,0.6928605076531749,0.5
uniar_bsq,4096,0.7281397472256792,0.7296075813122125,0.6933238926763976,0.5,0.5674009942778337,0.5
unitok_attn,1024,0.7376956026597815,0.737348940134414,0.7255166033303713,0.5,0.7353664039592018,0.5
vilau_256,1024,0.12715774773735167,0.1267530893551124,0.12427310701629161,0.5,0.12265976010691318,0.5
webssl_dino1b_full2b_224,1536,0.777163290287961,0.7766644318642485,0.744759594590781,0.5,0.7471832198081884,0.5
webssl_dino300m_full2b_224,1024,0.6760883926632293,0.6739071105553295,0.6602813399884073,0.5,0.6505799785974654,0.5
webssl_mae1b_full2b_224,1536,0.5036260422485692,0.49023481439418504,0.411467475522268,0.5,0.17586590592160173,0.5
webssl_mae2b_full2b_224,2688,0.5599473485797369,0.5422636491244754,0.41435001652771475,0.5,0.16947042058479223,0.5
webssl_mae300m_full2b_224,1024,0.5005543172076238,0.4936959580644735,0.4580289448383833,0.5,0.18581171776666963,0.5
webssl_mae3b_full2b_224,3072,0.5715577311652186,0.5557183825064576,0.40433826696845937,0.5,0.18332654690793906,0.5
webssl_mae700m_full2b_224,1280,0.5054258761637075,0.4915102325352984,0.4445781130292971,0.5,0.1646631746024772,0.5
