name,ridge_std_obj80,ridge_raw_obj80,sgd_std_obj80,sgd_raw_obj80,ridge_std_dom,ridge_raw_dom,sgd_std_dom,sgd_raw_dom
toklip_s_256,0.7281868261342266,0.7269501770112526,0.710149509745846,0.6928605076531749,0.742529947392112,0.7438399078359833,0.7127174201762528,0.6940381849668747
uniar_bsq,0.7281397472256792,0.7296075813122125,0.6933238926763976,0.5674009942778337,0.6617371838443525,0.6673433820009051,0.5960691102778595,0.5044125390814147
unitok_attn,0.7376956026597815,0.737348940134414,0.7255166033303713,0.7353664039592018,0.7340211314537867,0.7348504251396262,0.7099500745834723,0.7317709001655073
vilau_256,0.12715774773735167,0.1267530893551124,0.12427310701629161,0.12265976010691318,0.08697687689560543,0.08318624920342207,0.07804222101877628,0.07703178700405157
webssl_dino1b_full2b_224,0.777163290287961,0.7766644318642485,0.744759594590781,0.7471832198081884,0.8143099178062733,0.8110646133841352,0.7539767935676651,0.7787718895518475
webssl_dino300m_full2b_224,0.6760883926632293,0.6739071105553295,0.6602813399884073,0.6505799785974654,0.7273662158003507,0.7263016796554979,0.6772140035028326,0.6530856989846661
webssl_mae1b_full2b_224,0.5036260422485692,0.49023481439418504,0.411467475522268,0.17586590592160173,0.509951261107066,0.4981870575986945,0.3464789874590272,0.13371273637422165
webssl_mae2b_full2b_224,0.5599473485797369,0.5422636491244754,0.41435001652771475,0.16947042058479223,0.5826250619967501,0.5741443881229232,0.31200750130539284,0.12763325770566514
webssl_mae300m_full2b_224,0.5005543172076238,0.4936959580644735,0.4580289448383833,0.18581171776666963,0.50410906170391,0.4953587646045056,0.4314347659248638,0.1370632415325637
webssl_mae3b_full2b_224,0.5715577311652186,0.5557183825064576,0.40433826696845937,0.18332654690793906,0.5860401928722531,0.57700551175392,0.3084959771637199,0.13663878189847678
webssl_mae700m_full2b_224,0.5054258761637075,0.4915102325352984,0.4445781130292971,0.1646631746024772,0.512159250019372,0.49629321312276853,0.39263035463277873,0.12311938659130357
