name,r2_n100,r2_n250,r2_n600,r2_n1500,r2_n2400,sat_250_2400,sat_600_2400
pe_lang_l14_448,0.1537664744207089,0.20251530316723335,0.25404757026099567,0.28898973317014465,0.3046871002044945,0.6646664825367161,0.8337982477449439
pixio_vit1b16,0.11081080016692302,0.1686149784381127,0.21634404754456402,0.25213726831147276,0.26976659874439146,0.6250402356070713,0.8019675102533868
pixio_vitb16,0.11508299981960186,0.1646914669336038,0.21401277623276957,0.25462496021596304,0.27329711569406645,0.6026096049910833,0.7830773321162277
pixio_vith16,0.11142940841758464,0.16738117557022517,0.21616287164769332,0.25278466268211175,0.270578632339189,0.6186045591375497,0.7988911385165043
pixio_vitl16,0.10634911929807385,0.15973127568467307,0.2127749600461224,0.25352320041039667,0.2723667516581737,0.5864565873485885,0.7812075400200084
raev2,0.12374759436488554,0.17172043632510567,0.22252140118837824,0.25791160313213435,0.273574138016789,0.6276925062067357,0.81338610002208
siglip2_b16_224,0.14843017617872903,0.19908503846453596,0.2453600964563497,0.28108705847172777,0.2984539598177691,0.6670544380985727,0.8221036725602916
siglip2_b16_256,0.1490263852657463,0.19911476945526718,0.24518910172393105,0.28110750796357853,0.29851241609848767,0.6670234091354298,0.8213698610212455
siglip2_b16_384,0.1478043639550861,0.19885298943177268,0.24463338819376046,0.2810349150245559,0.29832679856163224,0.6665609338166482,0.8200181457825717
siglip2_b16_512,0.14763486073114537,0.19807887739123498,0.24416934442909302,0.28138501447085007,0.2988241762945597,0.6628609500323122,0.8171003680385224
siglip2_b32_256,0.14637855378515954,0.19604916357507038,0.24235114468342242,0.2766039423983985,0.29279979426181824,0.6695672859652539,0.8277025784612225
siglip2_g16_256,0.141649286431055,0.19664330864973978,0.2512543695777407,0.2839653008941705,0.30165665933194696,0.6518778968288941,0.832915043659809
siglip2_g16_384,0.13880868515537995,0.19705388297634333,0.25260082394261224,0.2869861983522849,0.3039312263024059,0.6483502382222431,0.83111178478015
siglip2_l16_256,0.1520125928137875,0.20067855185383346,0.2547458332912285,0.28972920495486576,0.306895934956507,0.6538977190501837,0.8300723609367157
siglip2_l16_384,0.1509886403309828,0.20056554846015204,0.2533897861657556,0.28940026662014684,0.30702904673759934,0.653246168697401,0.8252958111234138
siglip2_l16_512,0.15082878186190418,0.2016279451927183,0.2533927275683972,0.2894868806667984,0.30687799900458346,0.6570296529785011,0.8257116130524971
siglip2_sm14_224,0.14530434942660997,0.1968801961195309,0.25299038634554694,0.2881317808137491,0.30537933491905034,0.6447070040666626,0.8284463204185358
siglip2_sm14_384,0.1440538414682758,0.19703698806779102,0.2521325371025635,0.2878230524040546,0.3059261964325829,0.6440670670424661,0.8241613174768643
