name,mAP_dom,mAP_obj80,mAP_small,mAP_count2,mAP_crowd,mAP_w_obj,mAP_w_color,mAP_w_rel,mAP_w_num,mAP_w_act
mc2_g14_378,0.7960068813306121,0.8012782894484235,0.49784958869693646,0.5002393015172494,0.4153172557391498,0.45134539579409233,0.22676622794583134,0.13453252662517604,0.214476947397441,0.42493860407493533
mc2_h14_378,0.7732897048341438,0.7778734394057993,0.47122401414851217,0.5089357270768492,0.41223184165551513,0.4236105345991491,0.1742308691660767,0.12529649946379037,0.17024896261966693,0.3852455818793062
mc2_l14_224,0.7680258462320573,0.7426503052141294,0.4473839669654449,0.4573471961535481,0.4107807842412212,0.41523887390789166,0.18564540411670472,0.12933844542127348,0.14952016115213018,0.35289351117135387
mc2_m16_224,0.7057229633203865,0.6581296301374926,0.39483541831389274,0.41645055490616745,0.3673525544040042,0.38921726314081,0.2163566015866117,0.13256540086611232,0.14333662597879138,0.3180029990719795
mc2_m16_224_mt5,0.703142460860074,0.6502975136029358,0.38547997826943403,0.4003725241925333,0.3641372373674722,0.38194517680774615,0.21415996593466605,0.12456997449353029,0.15028557248975455,0.31634428451827007
mc2_m16_384,0.714107456974354,0.6592561602821281,0.39455128507177467,0.41951514369322607,0.38101784171747044,0.3891601603349733,0.21366282275748752,0.1305895679972184,0.14055125186734513,0.30220234903956805
mc2_s16_224,0.6768199906519201,0.6336133392854728,0.39125606469174395,0.40544531634862785,0.3747785522125458,0.37876896179249114,0.22936964649222769,0.13332334788253009,0.1496085638324004,0.32073065624217767
mc2_s16_224_mt5,0.692046890001015,0.6441396560677036,0.38837777730107276,0.39681146988880805,0.3433898085995513,0.3764896669692508,0.20982970605025844,0.13151347396139293,0.14892455829010154,0.3130165800512321
mc2_s16_384,0.686078215168218,0.6486171133717398,0.3994221320973243,0.41759733381802916,0.4008659972320647,0.38501365213634886,0.2098466283785009,0.13884831858863475,0.15391190712625774,0.32755779378249417
pe_core_b16_224,0.7636856813602316,0.7256148851581933,0.4299211437557203,0.45129757900867756,0.4120675365889173,0.4240871608037659,0.2539044962753316,0.14211259457616518,0.19447066839233412,0.3708860495199097
pe_core_g14_448,0.8156905710853307,0.8247924369551128,0.4913649078948878,0.5297749931384811,0.4554958360754094,0.46538203582837534,0.29566894287961276,0.16339214780051867,0.23186431976307725,0.4536061714533147
